antecedents,consequents,support,confidence,lift
time_NIGHT,demand_LOW,0.21314377069772752,0.8520885642547362,2.556265692764209
demand_LOW,time_NIGHT,0.21314377069772752,0.6394313120931826,2.556265692764209
"renewable_HIGH, season_SPRING",fossil_LOW,0.11582162841155647,0.8403065451532725,2.520056306817537
"demand_LOW, price_MED",time_NIGHT,0.07091469681397738,0.6302968789647297,2.5197488103602548
"demand_LOW, renewable_MED",time_NIGHT,0.057668151193331046,0.6263565891472869,2.5039966451325224
"demand_LOW, season_AUTUMN",time_NIGHT,0.05447070914696814,0.6253687315634218,2.500047469664864
"price_MED, time_NIGHT",demand_LOW,0.07091469681397738,0.8285523682454969,2.485657104736491
"renewable_LOW, time_NIGHT",demand_LOW,0.0999486125385406,0.8255128507427494,2.476538552228248
"fossil_LOW, time_MORNING",renewable_HIGH,0.06086559323969396,0.825077399380805,2.4752321981424155
"fossil_LOW, season_SPRING",renewable_HIGH,0.11582162841155647,0.8230878474335566,2.46926354230067
"fossil_LOW, renewable_MED",demand_LOW,0.05375699440447642,0.8219118288956788,2.4657354866870365
"is_WEEKDAY, time_NIGHT",demand_LOW,0.14616877926230445,0.818545163868905,2.455635491606715
"fossil_LOW, time_EVENING",renewable_HIGH,0.058438963115222106,0.8119793732645776,2.435938119793733
"demand_MED, renewable_HIGH",fossil_LOW,0.09834989151535914,0.811925524393118,2.434942403120046
"fossil_HIGH, renewable_MED",demand_HIGH,0.10605801073426972,0.8097210113339145,2.429371099357975
"fossil_MED, renewable_LOW",time_NIGHT,0.0759392486011191,0.6061987237921604,2.4234111957306315
"demand_HIGH, renewable_MED",fossil_HIGH,0.10605801073426972,0.7948224219084297,2.3846715027501904
"demand_LOW, fossil_LOW",time_NIGHT,0.1013189448441247,0.5940743220622697,2.374941263775072
"fossil_LOW, is_WEEKDAY",renewable_HIGH,0.162241635263218,0.7827823691460055,2.3483471074380167
"price_HIGH, renewable_LOW",fossil_HIGH,0.10263217997030946,0.7818616789908656,2.3457859436138793
"demand_LOW, season_SPRING",time_NIGHT,0.05538426401735754,0.5853952926976463,2.3402449569291432
"fossil_LOW, season_WINTER",renewable_HIGH,0.06223592554527806,0.7722281261069784,2.3166843783209354
"fossil_HIGH, time_MORNING",demand_HIGH,0.07853717026378897,0.7701567749160134,2.310668223705192
"fossil_LOW, price_LOW",renewable_HIGH,0.1505081648966541,0.7701972242512783,2.3105916727538354
"demand_HIGH, price_HIGH",fossil_HIGH,0.1308381865935823,0.7628162450066578,2.2886447477595895
"fossil_MED, renewable_LOW",demand_LOW,0.09535228959689392,0.7611668185961714,2.2835004557885146
"demand_MED, fossil_HIGH",renewable_LOW,0.07533972821742606,0.7565940366972477,2.269587729505112
fossil_LOW,renewable_HIGH,0.25216969281717483,0.7562500000000001,2.2687500000000003
renewable_HIGH,fossil_LOW,0.25216969281717483,0.7565090784515245,2.2687500000000003
"renewable_HIGH, time_EVENING",fossil_LOW,0.058438963115222106,0.7545152967194987,2.262770703209812
"demand_HIGH, season_AUTUMN",fossil_HIGH,0.05726847093753568,0.7446176688938382,2.234044343127483
"fossil_HIGH, season_WINTER",demand_HIGH,0.06332077195386548,0.7427997320830543,2.228590065559334
"fossil_HIGH, season_WINTER",price_HIGH,0.06323512618476647,0.7417950435365036,2.2257663855573626
"renewable_LOW, time_MORNING",fossil_HIGH,0.05230101632979331,0.7399030694668821,2.2198993333863766
"demand_LOW, renewable_HIGH",price_LOW,0.07633892885691447,0.7310005467468562,2.192813835013178
"fossil_LOW, time_NIGHT",price_LOW,0.07956491949297705,0.7288179916317992,2.186266730399817
"renewable_HIGH, season_WINTER",fossil_LOW,0.06223592554527806,0.7254575707154741,2.1756273790258245
"fossil_HIGH, time_AFTERNOON",demand_HIGH,0.07416923603973964,0.7226703755215578,2.1681968234491755
"demand_LOW, season_SPRING",price_LOW,0.0683453237410072,0.7223898611949306,2.166983990574294
"demand_MED, renewable_LOW",fossil_HIGH,0.07533972821742606,0.7214324767632586,2.1644828090846615
"price_LOW, season_SPRING",fossil_LOW,0.09846408587415782,0.7216991002301737,2.1643558290122025
"fossil_LOW, price_MED",renewable_HIGH,0.06857371245860454,0.7180866965620328,2.154260089686099
"demand_LOW, season_SPRING",fossil_LOW,0.06763160899851547,0.7148461074230538,2.1438038913368773
"fossil_MED, time_NIGHT",renewable_LOW,0.0759392486011191,0.7137107593238529,2.140948914755153
"fossil_LOW, is_WEEKEND",renewable_HIGH,0.08992805755395683,0.7126696832579185,2.1380090497737556
"demand_LOW, renewable_HIGH",time_NIGHT,0.055527006965855885,0.5317113176599234,2.1256315949545534
"is_WEEKDAY, renewable_HIGH",fossil_LOW,0.162241635263218,0.7087802444499876,2.1256125344686785
"renewable_HIGH, time_AFTERNOON",fossil_LOW,0.0722850291195615,0.7048997772828508,2.1139751197486043
"price_LOW, renewable_HIGH",season_SPRING,0.087672718967683,0.5314068177885448,2.1097266251271845
"demand_HIGH, season_AUTUMN",price_HIGH,0.05398538312207377,0.7019302152932443,2.106151411794737
"demand_LOW, fossil_MED",renewable_LOW,0.09535228959689392,0.7006503041745333,2.1017709047379936
"renewable_LOW, time_EVENING",fossil_HIGH,0.06223592554527806,0.7005141388174807,2.101722420085543
"fossil_LOW, season_SPRING",price_LOW,0.09846408587415782,0.6997362548184216,2.0990289915029265
"demand_LOW, renewable_LOW",fossil_MED,0.09535228959689392,0.6968495722929272,2.0910859948836333
"fossil_MED, price_LOW",time_NIGHT,0.05167294735640059,0.522668206757147,2.0894797930026643
"price_MED, renewable_HIGH",fossil_LOW,0.06857371245860454,0.6924185644277889,2.076544304347311
"fossil_HIGH, price_HIGH",demand_HIGH,0.1308381865935823,0.6917735849056604,2.075498512383338
"demand_HIGH, season_SUMMER",fossil_HIGH,0.06235011990407674,0.6861451460885957,2.0586117496523624
"demand_LOW, is_WEEKEND",time_NIGHT,0.06697499143542308,0.511668484187568,2.0455060105138245
"fossil_HIGH, season_AUTUMN",renewable_LOW,0.07177115450496746,0.6768982229402263,2.0305207633082336
"renewable_HIGH, time_MORNING",fossil_LOW,0.06086559323969396,0.6768253968253969,2.0297808219178086
"demand_LOW, fossil_LOW",price_LOW,0.11499371931026607,0.6742551054569802,2.0225920899158263
"demand_MED, renewable_MED",fossil_MED,0.07219938335046248,0.6697563559322034,2.0097854566600892
"price_LOW, renewable_LOW",demand_LOW,0.05224391915039397,0.6698389458272328,2.0095168374816987
"fossil_LOW, price_LOW",season_SPRING,0.09846408587415782,0.5038714390065742,2.0004090179669363
"demand_HIGH, season_WINTER",price_HIGH,0.06594724220623502,0.6645569620253164,1.9940124435345885
